Code,Mounted,Date_iso,Date_ext,Date_amp,Family,Sequence,L1,R1,L2,R2,L3,R3,L4,R4,L5,R5,L6,R6,L7,R7,L8,R8,L9,R9,L10,R10,Clade,Notes,,
JP002A,Y,2023-12-04,2023-01-17,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP002B,Y,2023-12-04,2023-01-17,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP002C,N,2023-12-04,2023-01-17,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP002D,N,2023-12-04,2023-01-17,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP002E,N,2023-12-04,2023-01-17,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP003A,N,2023-11-07,2023-11-08,45191,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP004A,,,2023-11-08,2023-09-22,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP008A,Y,45250,2023-11-27,2023-11-29,Planorbidae,CO1,4,4,5,,,,,,,,,,,,,,,,,,,,,
JP008B,N,2023-11-20,2023-11-27,2023-11-29,Planorbidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP009A,Y,2023-11-07,2023-11-08,2023-09-22,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP009B,Y,2023-11-07,2023-11-08,2023-09-22,Physidae,CO1,7,5,10,,13,10,11,,,,,,,,,,,,,,,Eye spot? (Check picture) ,,
JP009C,N,2023-11-07,2023-11-08,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP009D,N,2023-11-07,2023-11-08,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP009E,N,2023-11-07,2023-11-08,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP009F,N,2023-11-07,2023-11-08,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP010A,Y,2023-11-07,2023-11-08,45257,Physidae,CO1,5,,9,9,,10,,11,10,,,,,,,,,,,,,,,
JP010B,Y,2023-11-07,2023-11-08,2023-11-27,Physidae,CO1,5,4,7,8,7,10,11,10,11,12,11,12,,,9,,,,,,,,,
JP010C,N,2023-11-07,2023-11-08,2023-11-27,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP010D,N,2023-11-07,2023-11-08,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP010E,N,2023-11-07,2023-11-08,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP011A,Y,2023-12-13,2024-03-01,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP011B,N,2023-12-13,2024-03-01,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
